ARANGO BUITRAGO Y CIA S EN C;K 2 12 10 ZZFF;3544366;20747-1-1;66017501;1849;385930;57;76;143;2;2016;1;1
ARANGO BUITRAGO Y CIA S EN C;K 2 12 10 ZZFF;14163555;20747-1-1;66017501;15;93;57;76;143;2;2016;1;2
